,Team,No,Name,7mPGoals,7mPMissed,6mCGoals,6mCMissed,WingGoals,WingMissed,BTGoals,BTMissed,FBGoals,FBMissed,FTOGoals,FTOMissed,9mGoals,9mMissed,RC,2M,2+2,AS,R7,ST,BS,P7,TO,Time,scoring,Position,topk,top1
148,ROU,98,Daciana Hosu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0,0,GK,0,0
149,MNE,44,Katarina Dzaferovic,0,0,2,0,0,0,2,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,49.0,0,RB,0,0
150,NOR,8,Live Rushfeldt Deila,0,0,1,1,0,0,3,3,2,0,0,0,1,4,0,1,0,7,0,0,1,0,2,109.0,0,LB,0,0
151,SRB,13,Tamara Kocic,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,0,LW,0,0
152,ISL,23,Dana Björg Guðmundsdóttir,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.0,0,LW,0,0
153,ESP,17,Jennifer Maria Gutiérrez Bermejo,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,93.0,0,LW,0,0
154,UKR,36,Vanessa Lakatosh,0,1,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,27.0,0,LB,0,0
155,SVK,28,Barbora Lancz,7,2,4,4,0,0,0,0,0,0,0,0,3,5,0,1,0,2,0,0,0,0,5,80.0,0,RB,0,0
156,UKR,30,Anastasiia Tkach,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,0,LW,0,0
157,MNE,9,Durdina Jaukovic,12,3,11,6,0,0,6,0,0,0,0,1,18,24,1,8,0,16,0,6,9,0,16,330.0,0,LB,1,0
158,TUR,57,Bilgenur Öztürk,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,48.0,0,RW,0,0
159,SVK,91,Réka Bízik,0,0,0,2,5,3,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,93.0,0,LW,0,0
160,UKR,33,Iryna Kompaniiets,0,0,1,0,0,0,0,1,0,0,0,0,5,5,0,3,0,2,0,1,0,0,4,94.0,0,LB,0,0
161,NOR,13,Kari Brattset Dale,0,0,19,9,0,0,0,0,6,0,0,0,1,0,0,3,0,6,0,5,4,0,1,289.0,0,LP,1,0
162,POL,88,Aleksandra Zych,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,19.0,0,RB,0,0
163,TUR,5,Beyzanur Türkyilmaz,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30.0,0,LW,0,0
164,MKD,41,Sara Stefanoska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,21.0,0,LB,0,0
166,MKD,15,Marija Jankulovska,1,1,1,2,0,0,1,1,0,0,0,0,6,5,0,2,0,9,0,1,0,0,3,123.0,0,LB,0,0
167,CRO,88,Kristina Prkacin,0,0,0,0,0,0,0,1,0,0,0,0,6,11,0,0,0,2,0,0,0,0,4,61.0,0,LB,0,0
168,ISL,14,Elísa Elíasdóttir,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,20.0,0,LP,0,0
169,SWE,8,Jamina Roberts,0,0,4,6,0,0,12,4,5,0,7,8,6,9,0,3,0,37,0,7,0,0,23,348.0,0,LB,0,0
170,TUR,18,Yagmur Bembeyaz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,37.0,0,GK,0,0
171,ESP,67,Elba Álvarez Torrado,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,CB,0,0
172,FAR,10,Súna Krossteig Hansen,0,0,0,2,0,0,3,1,0,0,0,0,1,2,0,0,0,8,0,0,1,0,8,132.0,0,CB,0,0
173,ROU,11,Mirabela-Gabriela Cotet,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56.0,0,LP,0,0
174,FAR,8,Rannvá Olsen,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0,0,CB,0,0
176,SLO,3,Manca Juric,0,0,6,2,0,0,0,0,3,1,2,2,0,0,0,3,0,0,0,0,0,0,2,167.0,0,LP,0,0
177,NED,9,Larissa Nüsser,0,0,7,6,0,0,14,0,1,1,0,0,2,3,0,0,0,20,0,3,1,0,18,199.0,0,CB,0,0
178,SLO,31,Lana Puncer,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,30.0,0,LP,0,0
179,ROU,15,Stefania Oana Jipa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,0,LP,0,0
180,DEN,23,Kristina Jörgensen,3,2,3,4,0,0,2,1,0,1,1,2,5,6,0,0,0,17,0,0,1,0,4,119.0,0,LB,0,0
181,NED,30,Rinka Duijndam,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,1,171.0,0,GK,0,0
182,NOR,46,Ane Cecilie Høgseth,0,0,4,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,63.0,0,LP,0,0
184,ISL,12,Hafdís Renötudóttir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,54.0,0,GK,0,0
186,GER,66,Dana Bleckmann,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15.0,0,LB,0,0
